,movieId,title,genres,weighted average
0,318,The Shawshank Redemption (1994),Crime Drama,4.623325630675117
1,356,Forrest Gump (1994),Comedy Drama Romance War,4.582066869300912
2,296,Pulp Fiction (1994),Comedy Crime Drama Thriller,4.431360949674762
3,2571,The Matrix (1999),Action Sci-Fi Thriller,4.208685027661762
4,593,The Silence of the Lambs (1991),Crime Horror Thriller,4.200705951563879
5,260,Star Wars: Episode IV - A New Hope (1977),Action Adventure Sci-Fi,4.022832681432325
6,110,Braveheart (1995),Action Drama War,3.81673463891347
7,2959,Fight Club (1999),Action Crime Drama Thriller,3.793002844315552
8,527,Schindler's List (1993),Drama War,3.784232522796352
9,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action Adventure Sci-Fi,3.711163370258863
10,589,Terminator 2: Judgment Day (1991),Action Sci-Fi,3.68761873100304
11,480,Jurassic Park (1993),Action Adventure Sci-Fi Thriller,3.683510638297872
12,50,The Usual Suspects (1995),Crime Mystery Thriller,3.6690245247034974
13,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action Adventure,3.623506838905775
14,858,The Godfather (1972),Crime Drama,3.603497815349544
15,1,Toy Story (1995),Adventure Animation Children Comedy Fantasy,3.5942037181027784
16,2858,American Beauty (1999),Drama Romance,3.5783382501936947
17,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action Adventure Sci-Fi,3.558239253148068
18,4993,The Lord of the Rings: The Fellowship of the Ring (2001),Adventure Fantasy,3.5575895735470207
19,47,Seven (a.k.a. Se7en) (1995),Mystery Thriller,3.530237920553401
20,2028,Saving Private Ryan (1998),Action Drama War,3.501709726443769
21,7153,The Lord of the Rings: The Return of the King (2003),Action Adventure Drama Fantasy,3.4652345354473013
22,150,Apollo 13 (1995),Adventure Drama IMAX,3.450241195239608
23,457,The Fugitive (1993),Thriller,3.4398216285394336
24,5952,The Lord of the Rings: The Two Towers (2002),Adventure Fantasy,3.439209726443769
25,608,Fargo (1996),Comedy Crime Drama Thriller,3.433390988933484
26,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery Sci-Fi Thriller,3.3365102261604243
27,1270,Back to the Future (1985),Adventure Comedy Sci-Fi,3.3183979452176544
28,2762,The Sixth Sense (1999),Drama Horror Mystery,3.307109745122345
29,588,Aladdin (1992),Adventure Animation Children Comedy Musical,3.2867523709867625
30,364,The Lion King (1994),Adventure Animation Children Drama Musical IMAX,3.277921114017106
31,4226,Memento (2000),Mystery Thriller,3.2695274416470723
32,3578,Gladiator (2000),Action Adventure Drama,3.2609109601287325
33,780,Independence Day (a.k.a. ID4) (1996),Action Adventure Sci-Fi Thriller,3.257726684522556
34,58559,The Dark Knight (2008),Action Crime Drama IMAX,3.251346361763326
35,4306,Shrek (2001),Adventure Animation Children Comedy Fantasy Romance,3.2256168424816734
36,1197,The Princess Bride (1987),Action Adventure Comedy Fantasy Romance,3.195224538721692
37,590,Dances with Wolves (1990),Adventure Drama Western,3.163883534732004
38,592,Batman (1989),Action Crime Thriller,3.150455927051672
39,79132,Inception (2010),Action Crime Drama Mystery Sci-Fi Thriller IMAX,3.1198429230344127
40,1136,Monty Python and the Holy Grail (1975),Adventure Comedy Fantasy,3.114317003397104
41,1193,One Flew Over the Cuckoo's Nest (1975),Drama,3.1121420572708365
42,1704,Good Will Hunting (1997),Drama Romance,3.110435663627153
43,1221,The Godfather: Part II (1974),Crime Drama,3.1100881223345347
44,380,True Lies (1994),Action Adventure Comedy Romance Thriller,3.1011790922441174
45,1089,Reservoir Dogs (1992),Crime Mystery Thriller,3.0965857676512214
46,1214,Alien (1979),Horror Sci-Fi,3.094011533497106
47,2329,American History X (1998),Crime Drama,3.0887702928771708
48,1291,Indiana Jones and the Last Crusade (1989),Action Adventure,3.0870440729483284
49,1213,Goodfellas (1990),Crime Drama,3.0824468085106385
50,7361,Eternal Sunshine of the Spotless Mind (2004),Drama Romance Sci-Fi,3.075593401239008
51,377,Speed (1994),Action Romance Thriller,3.0640119803053736
52,1265,Groundhog Day (1993),Comedy Fantasy Romance,3.058654111845601
53,6377,Finding Nemo (2003),Adventure Animation Children Comedy,3.0519250253292807
54,1036,Die Hard (1988),Action Crime Thriller,3.032858190965308
55,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action Adventure Comedy Fantasy,3.0214805899512456
56,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action Crime Drama Thriller,3.020036794112942
57,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy Romance,3.003520770010132
58,648,Mission: Impossible (1996),Action Adventure Mystery Thriller,2.999521558032196
59,1580,Men in Black (a.k.a. MIB) (1997),Action Comedy Sci-Fi,2.9977387860366584
60,595,Beauty and the Beast (1991),Animation Children Fantasy Musical Romance IMAX,2.994696465003956
61,541,Blade Runner (1982),Action Sci-Fi Thriller,2.992652465928032
62,6874,Kill Bill: Vol. 1 (2003),Action Crime Thriller,2.9763567600176337
63,1240,The Terminator (1984),Action Sci-Fi Thriller,2.9439140119260307
64,1200,Aliens (1986),Action Adventure Horror Sci-Fi,2.939589665653496
65,48516,The Departed (2006),Crime Drama Thriller,2.9392381331136552
66,4886,"Monsters, Inc. (2001)",Adventure Animation Children Comedy Fantasy,2.938645574283872
67,4995,"Beautiful Mind, A (2001)",Drama Romance,2.934650455927052
68,1208,Apocalypse Now (1979),Action Drama War,2.9228829929267395
69,3147,The Green Mile (1999),Crime Drama,2.9177893699170294
70,1206,"Clockwork Orange, A (1971)",Crime Drama Sci-Fi Thriller,2.909770770010132
71,912,Casablanca (1942),Drama Romance,2.879878419452888
72,165,Die Hard: With a Vengeance (1995),Action Crime Thriller,2.872002701789936
73,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy War,2.8711026854260018
74,1258,The Shining (1980),Horror,2.8695518808733724
75,8961,The Incredibles (2004),Action Adventure Animation Children Comedy,2.867848024316109
76,3793,X-Men (2000),Action Adventure Sci-Fi,2.8602623580227164
77,1682,The Truman Show (1998),Comedy Drama Sci-Fi,2.855848024316109
78,111,Taxi Driver (1976),Crime Drama Thriller,2.8431581716156185
79,1073,Willy Wonka & the Chocolate Factory (1971),Children Comedy Fantasy Musical,2.8412301090649024
80,5989,Catch Me If You Can (2002),Crime Drama,2.834729747588212
81,4963,Ocean's Eleven (2001),Crime Thriller,2.826524226711961
82,1222,Full Metal Jacket (1987),Drama War,2.8240955956850824
83,60069,WALL·E (2008),Adventure Animation Children Romance Sci-Fi,2.819119710077157
84,4878,Donnie Darko (2001),Drama Mystery Sci-Fi Thriller,2.819093165277042
85,33794,Batman Begins (2005),Action Crime IMAX,2.8124934493239704
86,1097,E.T. the Extra-Terrestrial (1982),Children Drama Sci-Fi,2.810248393043998
87,68954,Up (2009),Adventure Animation Children Drama,2.8002532928064845
88,2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action Comedy Sci-Fi,2.799354103343465
89,34,Babe (1995),Children Drama,2.798816251899696
90,778,Trainspotting (1996),Comedy Crime Drama,2.7946838309792
91,500,Mrs. Doubtfire (1993),Comedy Drama,2.788669368456602
92,367,The Mask (1994),Action Comedy Crime Fantasy,2.7853658064391227
93,4011,Snatch (2000),Comedy Crime Thriller,2.7846439193384973
94,924,2001: A Space Odyssey (1968),Adventure Drama Sci-Fi,2.7755151836256657
95,1721,Titanic (1997),Drama Romance,2.7709726443769
96,7438,Kill Bill: Vol. 2 (2004),Action Drama Thriller,2.7699571704890853
97,904,Rear Window (1954),Mystery Thriller,2.7692502532928067
98,597,Pretty Woman (1990),Comedy Romance,2.768428458853991
99,1617,L.A. Confidential (1997),Crime Film-Noir Mystery Thriller,2.768009901920847
100,1732,The Big Lebowski (1998),Comedy Crime,2.767735275563457
101,5418,The Bourne Identity (2002),Action Mystery Thriller,2.7595459726443767
102,2502,Office Space (1999),Comedy Crime,2.759498480243161
103,1527,The Fifth Element (1997),Action Adventure Comedy Sci-Fi,2.754303794151556
